X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
411092.273,4852516.0239,683,WJ006.00,CA,30,30,2.1,0.21,24,4.1,31,163,43.8203700001168,-70.1055999993863,WJ,e8ffeb38-4964-497f-a3ed-57c2a1cf353b
411384.428899999707937,4852772.06499999948,684,WJ007.12,X,30,30,2,0.11,6,2.9,31,163,43.8227099996248,-70.1020099995033,WJ,f4e2846e-c4a9-4a85-a56e-6c1cea06fe4d
411064.432400000281632,4853080.7081,685,WJ008.00,CA,30,30,2.6,0.26,18,5.8,31,163,43.8254499996152,-70.1060400000575,WJ,eb8e8e0b-e2d3-4c28-8eb8-164265fcae8a
411738.256099999882281,4853556.063899999484,686,WJ009.00,P,30,30,3,0.36,52,8.9,31,163,43.8298100000671,-70.0977400002717,WJ,8a68d13f-f89a-44a9-bd7c-df8d84f6fa23
411524.188299999572337,4854148.7696,688,WJ009.70,CA,30,30,2.4,0.2,13,5,31,163,43.8351200000658,-70.1004999995827,WJ,a447f422-bf2a-4f31-8df5-00a0f1a914ca
411987.355399999767542,4854088.19199999981,689,WJ009.80,CA,30,30,2.3,0.1,8,3.9,31,163,43.834630000163,-70.0947300000665,WJ,d526d14a-b25b-4463-8bbb-3642d9b5e04c
411879.045400000177324,4854956.0894,691,WJ011.00,CA,30,30,2.8,0.2,13,6.2,31,163,43.8424300001527,-70.0962199994009,WJ,39705d35-f5b7-4835-8cee-10caef65a069
412418.360999999567866,4854515.7322,692,WJ014.00,CA,30,30,2.3,0.2,20,4.9,31,163,43.8385299996558,-70.0894400004767,WJ,feaee55c-78ae-4393-9142-d2007516caab
413190.536600000225008,4855460.9331,693,WJ014.15,P,30,30,5.2,0.61,1160,31.9,31,163,43.8471300001451,-70.079989999732,WJ,7532ee06-bb7e-4d48-9b5f-f7465838c78b
413139.661100000143051,4855012.81599999964,694,WJ014.17,CA,30,30,3.5,0.3,22,10,31,163,43.8430899997642,-70.0805499995593,WJ,7d759e69-8b23-4e7b-8a2a-a40f1068112e
412902.927199999801815,4854617.1195,695,WJ014.20,CA,30,30,2.8,0.2,18,6.3,31,163,43.8395000002395,-70.0834299994973,WJ,47cb5b04-6e81-41c6-9240-0b9fdac483a9
412856.186499999836087,4854302.2518,696,WJ014.31,CA,30,30,3,0.3,24,7.9,31,163,43.8366600003391,-70.0839599999845,WJ,315ac167-5268-44aa-8718-d6e1dcf707d5
412334.155899999663234,4853922.538499999791,697,WJ014.41,CA,30,30,2.3,0.2,13,4.1,31,163,43.8331800002399,-70.09038999961,WJ,82a40539-e5ee-4f51-83a3-80ac4fed62f7
412589.740699999966,4853729.219799999148,698,WJ014.50,CA,30,30,2.6,0.3,24,6,31,163,43.8314700003776,-70.0871799995167,WJ,7b92b97f-41ce-4c30-8d64-a639541e0cad
412044.605700000189245,4852762.1936,699,WJ014.70,CA,30,30,2.6,0.23,9.1,5.2,31,163,43.8226999995681,-70.0937999997244,WJ,f61369a6-5794-4d78-8988-b321814a6a49
411718.863599999807775,4852943.132899999619,700,WJ014.80,X,30,30,2.2,0.22,14,4.3,31,163,43.8242900003651,-70.0978799998692,WJ,0619cd8d-ec77-4814-b512-5003824d5489
411510.760700000450015,4852413.8012,701,WJ014.90,X,30,30,2.3,0.23,30,4.6,31,163,43.819499999613,-70.100379999618,WJ,162a31fc-e2c7-482e-a441-a4669e4ef456
411678.502100000157952,4852326.037299999967,702,WJ015.00,CA,30,30,2.2,0.22,22,4.3,31,163,43.8187299998937,-70.0982799994471,WJ,3a5f55e7-bfb2-4bbe-8afe-edeae3cba77a
411337.869900000281632,4851812.9122,703,WJ015.50,X,30,30,2.1,0.14,8,3.3,31,163,43.8140700000147,-70.1024300004737,WJ,9934ab2c-6bd9-47e0-92d2-d3616797b0e9
411460.882399999536574,4851324.7236,704,WJ016.00,A,30,30,2.3,0.21,18,4.3,31,163,43.8096899995948,-70.1008200005712,WJ,d777ab4c-4664-4e02-9424-8d3349b6246f
412470.712600000202656,4852200.0413,705,WJ017.00,A,30,30,2.5,0.27,24,5.7,31,163,43.8176899998542,-70.0884099997749,WJ,bf1d3624-da39-466a-9147-54a15ab9480c
413058.263799999840558,4852598.9064,706,WJ017.50,A,30,30,2.3,0.32,94,6.2,31,163,43.8213500003083,-70.0811699994627,WJ,4f5b772b-3302-4ee8-9f7d-6b69a279e327
413469.979500000365078,4853396.6765,708,WJ018.00,A,30,30,3,0.4,52,10.1,31,163,43.828580000375,-70.0761799994198,WJ,8a564fac-7037-404c-bb41-c8c054738519
414298.278300000354648,4853146.012199999765,710,WJ018.60,A,30,30,2.7,0.37,88,8.3,31,163,43.8264200004307,-70.0658399996132,WJ,8956171f-3ac1-4ada-a117-b98608b527ec
414559.640499999747,4852393.947399999946,712,WJ019.00,A,30,30,4,0.52,240,18.9,31,163,43.8196799995572,-70.06246999945,WJ,23c92508-339e-474a-887a-e2dfeb6c3117
413979.0767,4851347.24459999986,716,WJ024.00,A,30,30,2.8,0.53,1000,14,31,163,43.8101899999851,-70.0695199995447,WJ,d8c48289-c060-4fb4-a9e8-929f3996365f
415052.101700000464916,4852789.763299999759,717,WJ026.00,A,30,30,3.1,0.55,1100,16,31,163,43.8232999998478,-70.0564099996303,WJ,7b42c71d-b3d4-4c4d-8683-c8202183fa37
416205.331000000238419,4854826.840199999511,719,WJ027.30,A,30,30,2.5,0.32,42,6.5,31,163,43.8417699999561,-70.042389999885,WJ,a83f8770-c22a-4719-b58e-2d3052abf163
417234.080199999734759,4855894.789699999616,720,WJ027.50,A,30,30,3.3,0.47,76,13.5,31,163,43.8515000004433,-70.0297600005233,WJ,44191e10-c776-494c-a32e-92ed311b36e3
418497.278699999675155,4856838.9316,723,WJ031.50,A,30,30,3.8,0.63,1040,25,31,163,43.860140000329,-70.0141899996184,WJ,e1b93aa3-e6a1-4f3b-9991-2817a9f80ac6
390099.218799999915,4820624.9296,725,WG020.00,P,30,30,3.2,0.51,180,14.6,31,163,43.5304800001624,-70.3600899994721,WG,eac81409-762c-4ac0-9e04-3a1bf753da81
392002.585799999535084,4821726.071599999443,726,WG021.00,A,30,30,2.8,0.35,52,8.1,31,163,43.5406699997292,-70.3367600002031,WG,42f46759-ba07-49f7-815b-00055e93a71a
389618.185200000181794,4824256.5884,728,WG024.70,CA,30,30,3.8,0.4,33,12.6,31,163,43.5631000002649,-70.36677999952,WG,b2812f47-6e90-4745-af4a-b48af9c4694b
390362.6924,4823693.3792,729,WG025.00,A,30,30,4.4,0.58,130,25.2,31,163,43.5581399997219,-70.3574499998879,WG,cc8c7cbe-7c86-4f22-a389-d82135178710
390992.826899999752641,4823940.8483,730,WG026.50,A,30,30,5.4,0.52,86,25.6,31,163,43.5604599996797,-70.3497000000015,WG,a42d0890-5b90-4f8f-89d3-4cd72534f0e3
391066.564600000157952,4823506.400399999693,731,WG027.00,A,30,30,3.9,0.52,100,18.4,31,163,43.5565599997202,-70.3486999993749,WG,3a25fe28-5f52-4fef-a859-3cf0e48be267
391124.091199999675155,4822420.11959999986,733,WG032.00,CA,30,30,4,0.45,36,15.3,31,163,43.5467899998704,-70.3477699994299,WG,8802a0f1-aea3-4653-8291-e76f08bf6224
391432.808000000193715,4822622.8602,734,WG032.50,A,30,30,4.1,0.49,126,17.8,31,163,43.5486599998261,-70.3439900002138,WG,c93cd17e-c214-4d91-9e10-e61d5e7c01ba
392286.352900000289083,4824252.1281,735,WG033.00,A,30,30,4.3,0.46,98,16.9,31,163,43.5634500001273,-70.333750000551,WG,e7a586ea-3787-459d-99ab-db4d6c66530a
393143.764899999834597,4824678.337799999863,738,WG034.00,CA,30,30,4.2,0.44,74,15.8,31,163,43.567409999913,-70.323219999606,WG,8b73f34f-12b7-4d61-9840-bed1a4b7bc24
393196.818599999882281,4825017.425899999216,739,WG035.00,R,30,30,9,0.67,280,66.9,31,163,43.5704700002437,-70.3226299999827,WG,722098fc-9777-4fec-8cbb-5ce259d2af30
392034.089999999850988,4823384.1279,741,WG036.00,A,30,30,3,0.34,25,8.2,31,163,43.5555999996164,-70.3367000000205,WG,d90aa91a-d250-44e3-8524-bf8f9b297706
391933.879300000146031,4822880.283099999651,742,WG037.00,A,30,30,2.5,0.22,9.1,5.1,31,163,43.551050000406,-70.3378399997879,WG,ad0889de-fdcb-49d0-9a55-cf716e6adc0d
392219.592199999839067,4822155.8341,743,WG038.00,A,30,30,3.6,0.49,94,15.6,31,163,43.5445700003446,-70.3341600003329,WG,82ef5d30-2f5a-4ac9-a47d-66ea39c14339
392856.040199999697506,4822491.138599999249,744,WG039.00,A,30,30,2.6,0.31,44,6.7,31,163,43.5476799996715,-70.3263500004976,WG,444468e3-dcab-41b3-8b6f-2a7c81f90ec6
393478.256,4822901.1566,745,WG041.00,A,30,30,3.7,0.36,28,11,31,163,43.5514600003815,-70.3187300003937,WG,3e4bbcb8-6121-48c2-9fd1-e48d426b65af
393128.8262,4822013.5554,747,WG044.00,A,30,30,3.4,0.38,26,10.7,31,163,43.5434200003418,-70.322879999522,WG,c89bf23f-e22f-4c93-80bb-302b09847266
393149.6184,4820576.8515,749,WG046.00,A,30,30,2.6,0.33,33,6.9,31,163,43.5304900001199,-70.3223400003251,WG,808069b8-60d8-4d86-b62d-d38ca3eb0138
394005.216300000436604,4821426.456199999899,750,WH001.00,CA,30,30,2.1,0.26,48,4.6,31,163,43.5382600002202,-70.3119199995266,WH,bfa2142c-8d4a-475f-b60c-6066fb3e9d93
395018.964599999599159,4822792.469399999827,751,WH002.00,CA,30,30,2.1,0.24,26,4.4,31,163,43.5507000001177,-70.2996399994092,WH,eae12719-4d46-4810-93f3-e169759aaea6
396656.7582,4823792.400299999863,752,WH004.00,CA,30,30,1.9,0,2,1.9,31,163,43.5599300001319,-70.2795600000681,WH,830d38ce-cbab-4229-9b5e-0b21c689b186
397275.830699999816716,4825340.3365,755,WH010.00,CA,30,30,2.9,0.44,240,11.2,31,163,43.5739499997237,-70.2721899997607,WH,e597563f-b013-4676-a096-46f142b0afab
397348.233900000341237,4823948.422499999404,758,WH014.00,CA,30,30,2.4,0.28,27,5.5,31,163,43.5614300002032,-70.2710299996997,WH,1e194029-23b2-4a3a-945b-ddcd675a7e06
399006.638799999840558,4823032.363299999386,759,WH016.00,CA,30,30,1.9,0.05,4,2.3,31,163,43.5534099995635,-70.250330000526,WH,9d05b58c-8980-4380-ac32-cf0cd23acc33
